DexNum,Name,Type1,Type2,Ability1,Ability2,Ability3,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,move27,move28,move29,move30,move31,move32,move33,move34,move35
317,swalot,poison,---,liquid-ooze,sticky-hold,gluttony,100,73,83,73,83,55,"['0', 'body-slam']","['0', 'body-slam']","['1', 'pound']","['1', 'sludge']","['1', 'poison-gas']","['1', 'yawn']","['1', 'gunk-shot']","['1', 'pound']","['1', 'body-slam']","['1', 'sludge']","['1', 'poison-gas']","['1', 'yawn']","['1', 'wring-out']","['1', 'gunk-shot']","['1', 'venom-drench']","['5', 'yawn']","['8', 'poison-gas']","['10', 'sludge']","['12', 'amnesia']","['12', 'amnesia']","['17', 'acid-spray']","['17', 'acid-spray']","['20', 'encore']","['20', 'encore']","['25', 'toxic']","['25', 'toxic']","['30', 'stockpile']","['30', 'spit-up']","['30', 'swallow']","['30', 'stockpile']","['30', 'spit-up']","['30', 'swallow']","['37', 'sludge-bomb']","['37', 'sludge-bomb']","['42', 'gastro-acid']"
318,carvanha,water,dark,rough-skin,speed-boost,---,45,90,20,65,20,65,"['1', 'leer']","['1', 'aqua-jet']","['4', 'poison-fang']","['8', 'focus-energy']","['12', 'scary-face']","['16', 'bite']","['20', 'ice-fang']","['24', 'screech']","['28', 'swagger']","['32', 'crunch']","['36', 'agility']","['40', 'liquidation']","['44', 'take-down']",,,,,,,,,,,,,,,,,,,,,,
319,sharpedo,water,dark,rough-skin,speed-boost,---,70,120,40,95,40,95,"['0', 'slash']","['1', 'leer']","['1', 'focus-energy']","['1', 'slash']","['1', 'poison-fang']","['1', 'night-slash']","['1', 'aqua-jet']","['12', 'scary-face']","['16', 'bite']","['20', 'ice-fang']","['24', 'screech']","['28', 'swagger']","['34', 'crunch']","['40', 'agility']","['46', 'liquidation']","['52', 'take-down']",,,,,,,,,,,,,,,,,,,
320,wailmer,water,---,water-veil,oblivious,pressure,130,70,35,70,35,60,"['1', 'splash']","['3', 'growl']","['6', 'astonish']","['12', 'water-gun']","['15', 'mist']","['18', 'water-pulse']","['21', 'heavy-slam']","['24', 'brine']","['27', 'whirlpool']","['30', 'dive']","['33', 'bounce']","['36', 'body-slam']","['39', 'rest']","['42', 'amnesia']","['45', 'hydro-pump']","['48', 'water-spout']",,,,,,,,,,,,,,,,,,,
321,wailord,water,---,water-veil,oblivious,pressure,170,90,45,90,45,60,"['1', 'growl']","['1', 'water-gun']","['1', 'splash']","['1', 'astonish']","['1', 'soak']","['1', 'noble-roar']","['15', 'mist']","['18', 'water-pulse']","['21', 'heavy-slam']","['24', 'brine']","['27', 'whirlpool']","['30', 'dive']","['33', 'bounce']","['36', 'body-slam']","['39', 'rest']","['44', 'amnesia']","['49', 'hydro-pump']","['54', 'water-spout']",,,,,,,,,,,,,,,,,
322,numel,fire,ground,oblivious,simple,own-tempo,60,60,40,65,45,35,"['1', 'tackle']","['1', 'growl']","['1', 'tackle']","['1', 'growl']","['5', 'ember']","['5', 'ember']","['8', 'focus-energy']","['8', 'focus-energy']","['12', 'bulldoze']","['12', 'magnitude']","['15', 'incinerate']","['15', 'flame-burst']","['19', 'amnesia']","['19', 'amnesia']","['22', 'lava-plume']","['22', 'lava-plume']","['26', 'earth-power']","['26', 'earth-power']","['29', 'curse']","['29', 'curse']","['31', 'take-down']","['31', 'take-down']","['36', 'yawn']","['40', 'earthquake']","['40', 'earthquake']","['43', 'flamethrower']","['43', 'flamethrower']","['47', 'double-edge']","['47', 'double-edge']",,,,,,
323,camerupt,fire,ground,magma-armor,solid-rock,anger-point,70,100,70,105,75,40,"['0', 'rock-slide']","['0', 'rock-slide']","['1', 'tackle']","['1', 'growl']","['1', 'ember']","['1', 'fissure']","['1', 'focus-energy']","['1', 'eruption']","['1', 'tackle']","['1', 'growl']","['1', 'ember']","['1', 'fissure']","['1', 'focus-energy']","['1', 'rock-slide']","['1', 'eruption']","['8', 'ember']","['8', 'focus-energy']","['12', 'bulldoze']","['12', 'magnitude']","['15', 'incinerate']","['15', 'flame-burst']","['19', 'amnesia']","['19', 'amnesia']","['22', 'lava-plume']","['22', 'lava-plume']","['26', 'earth-power']","['26', 'earth-power']","['29', 'curse']","['29', 'curse']","['31', 'take-down']","['31', 'take-down']","['39', 'yawn']","['39', 'yawn']","['46', 'earthquake']","['46', 'earthquake']"
324,torkoal,fire,---,white-smoke,drought,shell-armor,70,85,140,85,70,20,"['1', 'ember']","['1', 'smog']","['4', 'withdraw']","['8', 'rapid-spin']","['12', 'smokescreen']","['16', 'clear-smog']","['20', 'flame-wheel']","['24', 'protect']","['28', 'lava-plume']","['32', 'body-slam']","['36', 'iron-defense']","['40', 'flamethrower']","['44', 'curse']","['48', 'heat-wave']","['52', 'amnesia']","['56', 'inferno']","['60', 'shell-smash']","['64', 'eruption']",,,,,,,,,,,,,,,,,
325,spoink,psychic,---,thick-fat,own-tempo,gluttony,60,25,35,70,80,60,"['1', 'splash']","['1', 'splash']","['7', 'confusion']","['7', 'psywave']","['10', 'growl']","['10', 'odor-sleuth']","['14', 'psybeam']","['14', 'psybeam']","['15', 'psych-up']","['18', 'psych-up']","['18', 'confuse-ray']","['21', 'magic-coat']","['22', 'confuse-ray']","['26', 'zen-headbutt']","['29', 'rest']","['29', 'power-gem']","['29', 'rest']","['29', 'power-gem']","['33', 'snore']","['33', 'snore']","['38', 'psyshock']","['38', 'psyshock']","['40', 'payback']","['40', 'payback']","['44', 'psychic']","['44', 'psychic']","['50', 'bounce']","['50', 'bounce']",,,,,,,
326,grumpig,psychic,---,thick-fat,own-tempo,gluttony,80,45,65,90,110,80,"['0', 'teeter-dance']","['0', 'teeter-dance']","['1', 'psybeam']","['1', 'confusion']","['1', 'splash']","['1', 'belch']","['1', 'psybeam']","['1', 'psywave']","['1', 'splash']","['1', 'teeter-dance']","['1', 'odor-sleuth']","['1', 'belch']","['7', 'psywave']","['10', 'odor-sleuth']","['14', 'psybeam']","['15', 'psych-up']","['18', 'psych-up']","['18', 'confuse-ray']","['21', 'magic-coat']","['22', 'confuse-ray']","['26', 'zen-headbutt']","['26', 'zen-headbutt']","['29', 'power-gem']","['29', 'power-gem']","['35', 'rest']","['35', 'snore']","['35', 'rest']","['35', 'snore']","['42', 'psyshock']","['42', 'psyshock']","['46', 'payback']","['46', 'payback']","['52', 'psychic']","['52', 'psychic']","['60', 'bounce']"
327,spinda,normal,---,own-tempo,tangled-feet,contrary,60,60,60,60,60,60,"['1', 'tackle']","['5', 'copycat']","['10', 'feint-attack']","['14', 'psybeam']","['19', 'hypnosis']","['23', 'dizzy-punch']","['28', 'sucker-punch']","['32', 'teeter-dance']","['37', 'uproar']","['41', 'psych-up']","['46', 'double-edge']","['50', 'flail']","['55', 'thrash']",,,,,,,,,,,,,,,,,,,,,,
328,trapinch,ground,---,hyper-cutter,arena-trap,sheer-force,45,100,45,45,45,10,"['1', 'sand-attack']","['1', 'astonish']","['8', 'bite']","['12', 'mud-slap']","['16', 'sand-tomb']","['20', 'bulldoze']","['24', 'dig']","['28', 'crunch']","['32', 'sandstorm']","['36', 'earth-power']","['40', 'earthquake']","['44', 'superpower']","['48', 'fissure']",,,,,,,,,,,,,,,,,,,,,,
329,vibrava,ground,dragon,levitate,---,---,50,70,50,50,50,70,"['0', 'dragon-breath']","['1', 'sand-attack']","['1', 'bite']","['1', 'dig']","['12', 'mud-slap']","['16', 'sand-tomb']","['20', 'dragon-tail']","['24', 'screech']","['28', 'bug-buzz']","['32', 'sandstorm']","['38', 'earth-power']","['44', 'earthquake']","['50', 'uproar']","['56', 'dragon-rush']","['62', 'boomburst']",,,,,,,,,,,,,,,,,,,,
330,flygon,ground,dragon,levitate,---,---,80,100,80,80,80,100,"['0', 'dragon-claw']","['1', 'sand-attack']","['1', 'supersonic']","['1', 'dragon-breath']","['1', 'bulldoze']","['12', 'mud-slap']","['16', 'sand-tomb']","['20', 'dragon-tail']","['24', 'screech']","['28', 'bug-buzz']","['32', 'sandstorm']","['38', 'earth-power']","['44', 'earthquake']","['52', 'uproar']","['60', 'dragon-rush']","['68', 'boomburst']",,,,,,,,,,,,,,,,,,,
331,cacnea,grass,---,sand-veil,water-absorb,---,50,85,40,85,40,35,"['1', 'poison-sting']","['1', 'leer']","['1', 'poison-sting']","['1', 'leer']","['4', 'absorb']","['4', 'absorb']","['7', 'growth']","['7', 'growth']","['10', 'leech-seed']","['10', 'leech-seed']","['13', 'sand-attack']","['13', 'sand-attack']","['16', 'bullet-seed']","['16', 'needle-arm']","['19', 'power-trip']","['19', 'feint-attack']","['22', 'ingrain']","['22', 'ingrain']","['26', 'payback']","['26', 'payback']","['30', 'spikes']","['30', 'spikes']","['34', 'sucker-punch']","['34', 'sucker-punch']","['38', 'pin-missile']","['38', 'pin-missile']","['42', 'energy-ball']","['42', 'energy-ball']","['46', 'cotton-spore']","['46', 'cotton-spore']","['50', 'sandstorm']","['50', 'sandstorm']","['54', 'destiny-bond']","['54', 'destiny-bond']",
332,cacturne,grass,dark,sand-veil,water-absorb,---,70,115,60,115,60,55,"['0', 'spiky-shield']","['0', 'spiky-shield']","['1', 'poison-sting']","['1', 'leer']","['1', 'absorb']","['1', 'growth']","['1', 'destiny-bond']","['1', 'poison-sting']","['1', 'leer']","['1', 'absorb']","['1', 'growth']","['1', 'destiny-bond']","['1', 'revenge']","['1', 'spiky-shield']","['4', 'absorb']","['7', 'growth']","['10', 'leech-seed']","['10', 'leech-seed']","['13', 'sand-attack']","['13', 'sand-attack']","['16', 'bullet-seed']","['16', 'needle-arm']","['19', 'power-trip']","['19', 'feint-attack']","['22', 'ingrain']","['22', 'ingrain']","['26', 'payback']","['26', 'payback']","['30', 'spikes']","['30', 'spikes']","['35', 'sucker-punch']","['35', 'sucker-punch']","['38', 'pin-missile']","['38', 'pin-missile']","['44', 'energy-ball']"
333,swablu,normal,flying,natural-cure,cloud-nine,---,45,40,60,40,75,50,"['1', 'growl']","['1', 'peck']","['4', 'disarming-voice']","['8', 'mist']","['12', 'fury-attack']","['16', 'round']","['20', 'dragon-breath']","['24', 'safeguard']","['28', 'sing']","['32', 'cotton-guard']","['36', 'take-down']","['40', 'moonblast']","['44', 'perish-song']",,,,,,,,,,,,,,,,,,,,,,
334,altaria,dragon,flying,natural-cure,cloud-nine,---,75,70,90,70,105,80,"['0', 'dragon-pulse']","['1', 'growl']","['1', 'mist']","['1', 'peck']","['1', 'pluck']","['1', 'disarming-voice']","['12', 'fury-attack']","['16', 'round']","['20', 'dragon-breath']","['24', 'safeguard']","['28', 'sing']","['32', 'cotton-guard']","['38', 'take-down']","['44', 'moonblast']","['50', 'perish-song']","['56', 'sky-attack']",,,,,,,,,,,,,,,,,,,
335,zangoose,normal,---,immunity,toxic-boost,---,73,115,60,60,60,90,"['1', 'scratch']","['1', 'leer']","['1', 'scratch']","['1', 'leer']","['5', 'quick-attack']","['5', 'quick-attack']","['8', 'fury-cutter']","['8', 'fury-cutter']","['12', 'metal-claw']","['12', 'pursuit']","['15', 'hone-claws']","['15', 'hone-claws']","['19', 'slash']","['19', 'slash']","['22', 'power-trip']","['22', 'revenge']","['26', 'crush-claw']","['26', 'crush-claw']","['29', 'false-swipe']","['29', 'false-swipe']","['33', 'switcheroo']","['33', 'embargo']","['36', 'detect']","['36', 'detect']","['40', 'x-scissor']","['40', 'x-scissor']","['43', 'taunt']","['43', 'taunt']","['47', 'swords-dance']","['47', 'swords-dance']","['50', 'close-combat']","['50', 'close-combat']",,,
336,seviper,poison,---,shed-skin,infiltrator,---,73,100,60,100,60,65,"['1', 'wrap']","['1', 'swagger']","['1', 'wrap']","['1', 'swagger']","['4', 'bite']","['4', 'bite']","['6', 'lick']","['6', 'lick']","['9', 'poison-tail']","['9', 'poison-tail']","['11', 'feint']","['11', 'feint']","['14', 'screech']","['14', 'screech']","['16', 'venoshock']","['19', 'glare']","['19', 'glare']","['21', 'poison-fang']","['21', 'poison-fang']","['24', 'venoshock']","['24', 'venom-drench']","['26', 'night-slash']","['29', 'gastro-acid']","['29', 'gastro-acid']","['31', 'poison-jab']","['31', 'poison-jab']","['34', 'haze']","['34', 'haze']","['36', 'swords-dance']","['39', 'crunch']","['39', 'crunch']","['41', 'belch']","['41', 'belch']","['44', 'coil']","['44', 'coil']"
337,lunatone,rock,psychic,levitate,---,---,90,55,65,95,85,70,"['1', 'tackle']","['1', 'rock-throw']","['1', 'confusion']","['1', 'harden']","['1', 'moonlight']","['1', 'moonblast']","['5', 'hypnosis']","['10', 'rock-polish']","['15', 'rock-slide']","['20', 'psyshock']","['25', 'cosmic-power']","['30', 'psychic']","['35', 'stone-edge']","['40', 'future-sight']","['45', 'magic-room']","['50', 'explosion']",,,,,,,,,,,,,,,,,,,
338,solrock,rock,psychic,levitate,---,---,90,95,85,55,65,70,"['1', 'tackle']","['1', 'rock-throw']","['1', 'confusion']","['1', 'harden']","['1', 'morning-sun']","['1', 'flare-blitz']","['5', 'hypnosis']","['10', 'rock-polish']","['15', 'rock-slide']","['20', 'zen-headbutt']","['25', 'cosmic-power']","['30', 'psychic']","['35', 'stone-edge']","['40', 'solar-beam']","['45', 'wonder-room']","['50', 'explosion']",,,,,,,,,,,,,,,,,,,
339,barboach,water,ground,oblivious,anticipation,hydration,50,48,43,46,41,60,"['1', 'water-gun']","['1', 'mud-slap']","['6', 'rest']","['6', 'snore']","['12', 'water-pulse']","['18', 'amnesia']","['24', 'aqua-tail']","['31', 'muddy-water']","['36', 'earthquake']","['42', 'future-sight']","['48', 'fissure']",,,,,,,,,,,,,,,,,,,,,,,,
340,whiscash,water,ground,oblivious,anticipation,hydration,110,78,73,76,71,60,"['0', 'thrash']","['1', 'water-gun']","['1', 'rest']","['1', 'snore']","['1', 'mud-slap']","['1', 'tickle']","['1', 'zen-headbutt']","['1', 'belch']","['12', 'water-pulse']","['18', 'amnesia']","['24', 'aqua-tail']","['33', 'muddy-water']","['40', 'earthquake']","['48', 'future-sight']","['56', 'fissure']",,,,,,,,,,,,,,,,,,,,
341,corphish,water,---,hyper-cutter,shell-armor,adaptability,43,80,65,50,35,35,"['1', 'water-gun']","['1', 'harden']","['4', 'leer']","['8', 'taunt']","['12', 'bubble-beam']","['16', 'knock-off']","['20', 'double-hit']","['24', 'protect']","['28', 'night-slash']","['32', 'razor-shell']","['36', 'swords-dance']","['40', 'crunch']","['44', 'crabhammer']","['48', 'endeavor']","['52', 'guillotine']",,,,,,,,,,,,,,,,,,,,
342,crawdaunt,water,dark,hyper-cutter,shell-armor,adaptability,63,120,85,90,55,55,"['0', 'swift']","['1', 'leer']","['1', 'water-gun']","['1', 'harden']","['1', 'taunt']","['12', 'bubble-beam']","['16', 'knock-off']","['20', 'double-hit']","['24', 'protect']","['28', 'night-slash']","['34', 'razor-shell']","['40', 'swords-dance']","['46', 'crunch']","['52', 'crabhammer']","['58', 'endeavor']","['64', 'guillotine']",,,,,,,,,,,,,,,,,,,
343,baltoy,ground,psychic,levitate,---,---,40,40,55,40,70,55,"['1', 'harden']","['1', 'mud-slap']","['3', 'rapid-spin']","['6', 'confusion']","['9', 'rock-tomb']","['12', 'power-trick']","['15', 'psybeam']","['18', 'ancient-power']","['21', 'imprison']","['24', 'cosmic-power']","['27', 'extrasensory']","['30', 'earth-power']","['33', 'self-destruct']","['36', 'guard-split']","['36', 'power-split']","['39', 'sandstorm']","['42', 'explosion']",,,,,,,,,,,,,,,,,,
344,claydol,ground,psychic,levitate,---,---,60,70,105,70,120,75,"['0', 'hyper-beam']","['1', 'hyper-beam']","['1', 'confusion']","['1', 'teleport']","['1', 'harden']","['1', 'mud-slap']","['1', 'rapid-spin']","['9', 'rock-tomb']","['12', 'power-trick']","['15', 'psybeam']","['18', 'ancient-power']","['21', 'imprison']","['24', 'cosmic-power']","['27', 'extrasensory']","['30', 'earth-power']","['33', 'self-destruct']","['38', 'guard-split']","['38', 'power-split']","['43', 'sandstorm']","['48', 'explosion']",,,,,,,,,,,,,,,
345,lileep,rock,grass,suction-cups,storm-drain,---,66,41,77,61,87,23,"['1', 'wrap']","['1', 'astonish']","['4', 'acid']","['8', 'confuse-ray']","['12', 'ingrain']","['16', 'ancient-power']","['20', 'mega-drain']","['24', 'brine']","['28', 'amnesia']","['32', 'gastro-acid']","['36', 'giga-drain']","['41', 'stockpile']","['41', 'spit-up']","['41', 'swallow']","['44', 'energy-ball']",,,,,,,,,,,,,,,,,,,,
346,cradily,rock,grass,suction-cups,storm-drain,---,86,81,97,81,107,43,"['1', 'wrap']","['1', 'acid']","['1', 'leech-seed']","['1', 'confuse-ray']","['1', 'astonish']","['12', 'ingrain']","['16', 'ancient-power']","['20', 'mega-drain']","['24', 'brine']","['28', 'amnesia']","['32', 'gastro-acid']","['36', 'giga-drain']","['43', 'stockpile']","['43', 'spit-up']","['43', 'swallow']","['48', 'energy-ball']",,,,,,,,,,,,,,,,,,,
347,anorith,rock,bug,battle-armor,swift-swim,---,45,95,50,40,50,75,"['1', 'harden']","['1', 'fury-cutter']","['4', 'water-gun']","['8', 'smack-down']","['12', 'metal-claw']","['16', 'ancient-power']","['20', 'bug-bite']","['24', 'brine']","['28', 'slash']","['32', 'crush-claw']","['36', 'rock-blast']","['41', 'protect']","['44', 'x-scissor']",,,,,,,,,,,,,,,,,,,,,,
348,armaldo,rock,bug,battle-armor,swift-swim,---,75,125,100,70,80,45,"['1', 'water-gun']","['1', 'harden']","['1', 'fury-cutter']","['1', 'smack-down']","['12', 'metal-claw']","['16', 'ancient-power']","['20', 'bug-bite']","['24', 'brine']","['28', 'slash']","['32', 'crush-claw']","['36', 'rock-blast']","['43', 'protect']","['48', 'x-scissor']",,,,,,,,,,,,,,,,,,,,,,
349,feebas,water,---,swift-swim,oblivious,adaptability,20,15,20,10,55,80,"['1', 'splash']","['15', 'tackle']","['25', 'flail']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,milotic,water,---,marvel-scale,competitive,cute-charm,95,60,79,100,125,81,"['0', 'water-pulse']","['1', 'tackle']","['1', 'wrap']","['1', 'water-gun']","['1', 'splash']","['1', 'flail']","['4', 'disarming-voice']","['8', 'twister']","['12', 'aqua-ring']","['16', 'attract']","['20', 'life-dew']","['24', 'dragon-tail']","['28', 'recover']","['32', 'aqua-tail']","['36', 'safeguard']","['40', 'surf']","['44', 'rain-dance']","['48', 'coil']","['52', 'hydro-pump']",,,,,,,,,,,,,,,,
351,castform,normal,---,forecast,---,---,70,70,70,70,70,70,"['1', 'tackle']","['10', 'ember']","['10', 'water-gun']","['10', 'powder-snow']","['15', 'headbutt']","['20', 'rain-dance']","['20', 'sunny-day']","['20', 'hail']","['25', 'weather-ball']","['35', 'hydro-pump']","['35', 'blizzard']","['35', 'fire-blast']","['45', 'hurricane']",,,,,,,,,,,,,,,,,,,,,,
352,kecleon,normal,---,color-change,protean,---,60,90,70,60,120,40,"['1', 'scratch']","['1', 'tail-whip']","['1', 'lick']","['1', 'thief']","['1', 'astonish']","['4', 'bind']","['7', 'shadow-sneak']","['10', 'feint']","['13', 'fury-swipes']","['16', 'feint-attack']","['18', 'psybeam']","['21', 'ancient-power']","['25', 'slash']","['30', 'camouflage']","['33', 'shadow-claw']","['38', 'screech']","['42', 'substitute']","['46', 'sucker-punch']","['50', 'synchronoise']",,,,,,,,,,,,,,,,
353,shuppet,ghost,---,insomnia,frisk,cursed-body,44,75,35,63,33,45,"['1', 'astonish']","['1', 'knock-off']","['4', 'screech']","['4', 'screech']","['7', 'night-shade']","['7', 'night-shade']","['10', 'spite']","['10', 'spite']","['13', 'shadow-sneak']","['16', 'will-o-wisp']","['16', 'will-o-wisp']","['19', 'shadow-sneak']","['19', 'feint-attack']","['22', 'hex']","['22', 'hex']","['26', 'curse']","['26', 'curse']","['30', 'shadow-ball']","['30', 'shadow-ball']","['34', 'role-play']","['34', 'embargo']","['38', 'sucker-punch']","['38', 'sucker-punch']","['42', 'trick']","['42', 'snatch']","['46', 'grudge']","['48', 'phantom-force']","['50', 'trick']","['54', 'phantom-force']",,,,,,
354,banette,ghost,---,insomnia,frisk,cursed-body,64,115,65,83,63,65,"['0', 'knock-off']","['1', 'night-shade']","['1', 'screech']","['1', 'spite']","['1', 'night-shade']","['1', 'screech']","['1', 'spite']","['1', 'knock-off']","['1', 'phantom-force']","['4', 'screech']","['7', 'night-shade']","['10', 'spite']","['13', 'shadow-sneak']","['16', 'will-o-wisp']","['16', 'will-o-wisp']","['19', 'shadow-sneak']","['19', 'feint-attack']","['22', 'hex']","['22', 'hex']","['26', 'curse']","['26', 'curse']","['30', 'shadow-ball']","['30', 'shadow-ball']","['34', 'role-play']","['34', 'embargo']","['40', 'sucker-punch']","['40', 'sucker-punch']","['46', 'trick']","['46', 'snatch']","['52', 'grudge']","['53', 'phantom-force']","['58', 'trick']","['64', 'phantom-force']",,
355,duskull,ghost,---,levitate,frisk,---,20,40,90,30,90,25,"['1', 'leer']","['1', 'astonish']","['4', 'disable']","['8', 'shadow-sneak']","['12', 'confuse-ray']","['16', 'night-shade']","['20', 'payback']","['24', 'will-o-wisp']","['28', 'mean-look']","['32', 'hex']","['36', 'curse']","['40', 'shadow-ball']","['44', 'future-sight']",,,,,,,,,,,,,,,,,,,,,,
356,dusclops,ghost,---,pressure,frisk,---,40,70,130,60,130,25,"['0', 'shadow-punch']","['1', 'fire-punch']","['1', 'ice-punch']","['1', 'thunder-punch']","['1', 'bind']","['1', 'leer']","['1', 'disable']","['1', 'astonish']","['1', 'gravity']","['1', 'shadow-sneak']","['12', 'confuse-ray']","['16', 'night-shade']","['20', 'payback']","['24', 'will-o-wisp']","['28', 'mean-look']","['32', 'hex']","['36', 'curse']","['42', 'shadow-ball']","['48', 'future-sight']",,,,,,,,,,,,,,,,
357,tropius,grass,flying,chlorophyll,solar-power,harvest,99,68,83,72,87,51,"['1', 'gust']","['1', 'leer']","['1', 'growth']","['1', 'razor-leaf']","['1', 'leaf-storm']","['1', 'gust']","['1', 'leer']","['1', 'growth']","['1', 'razor-leaf']","['1', 'leaf-storm']","['6', 'sweet-scent']","['6', 'sweet-scent']","['10', 'stomp']","['10', 'stomp']","['16', 'magical-leaf']","['16', 'magical-leaf']","['21', 'whirlwind']","['21', 'whirlwind']","['26', 'leaf-tornado']","['30', 'wide-guard']","['30', 'natural-gift']","['36', 'air-slash']","['36', 'air-slash']","['41', 'body-slam']","['41', 'body-slam']","['46', 'outrage']","['46', 'bestow']","['50', 'synthesis']","['50', 'synthesis']","['56', 'solar-beam']","['56', 'solar-beam']","['61', 'leaf-storm']",,,
358,chimecho,psychic,---,levitate,---,---,75,50,80,95,90,65,"['1', 'wrap']","['1', 'growl']","['1', 'confusion']","['1', 'astonish']","['1', 'healing-wish']","['1', 'wrap']","['1', 'growl']","['1', 'confusion']","['1', 'astonish']","['1', 'healing-wish']","['1', 'synchronoise']","['4', 'growl']","['7', 'astonish']","['10', 'confusion']","['13', 'yawn']","['13', 'yawn']","['16', 'stored-power']","['16', 'psywave']","['19', 'take-down']","['19', 'take-down']","['22', 'extrasensory']","['22', 'extrasensory']","['27', 'heal-bell']","['27', 'heal-bell']","['32', 'uproar']","['32', 'uproar']","['37', 'safeguard']","['37', 'safeguard']","['42', 'double-edge']","['42', 'double-edge']","['47', 'heal-pulse']","['47', 'heal-pulse']","['52', 'synchronoise']","['57', 'healing-wish']",
359,absol,dark,---,pressure,super-luck,justified,65,130,60,75,60,75,"['1', 'leer']","['1', 'quick-attack']","['5', 'double-team']","['10', 'knock-off']","['15', 'detect']","['20', 'taunt']","['25', 'slash']","['30', 'night-slash']","['35', 'focus-energy']","['40', 'sucker-punch']","['45', 'swords-dance']","['50', 'future-sight']","['55', 'perish-song']",,,,,,,,,,,,,,,,,,,,,,
360,wynaut,psychic,---,shadow-tag,telepathy,---,95,23,48,23,48,23,"['1', 'counter']","['1', 'amnesia']","['1', 'splash']","['1', 'destiny-bond']","['1', 'charm']","['1', 'safeguard']","['1', 'encore']","['1', 'mirror-coat']",,,,,,,,,,,,,,,,,,,,,,,,,,,
361,snorunt,ice,---,inner-focus,ice-body,moody,50,50,50,50,50,50,"['1', 'headbutt']","['1', 'powder-snow']","['1', 'astonish']","['5', 'leer']","['10', 'double-team']","['15', 'ice-shard']","['20', 'protect']","['25', 'icy-wind']","['30', 'frost-breath']","['35', 'bite']","['40', 'ice-fang']","['45', 'snowscape']","['50', 'weather-ball']","['55', 'crunch']","['60', 'blizzard']",,,,,,,,,,,,,,,,,,,,
362,glalie,ice,---,inner-focus,ice-body,moody,80,80,80,80,80,80,"['0', 'freeze-dry']","['1', 'headbutt']","['1', 'leer']","['1', 'double-team']","['1', 'powder-snow']","['1', 'astonish']","['1', 'sheer-cold']","['15', 'ice-shard']","['20', 'protect']","['25', 'icy-wind']","['30', 'frost-breath']","['35', 'bite']","['40', 'ice-fang']","['47', 'snowscape']","['54', 'weather-ball']","['61', 'crunch']","['68', 'blizzard']",,,,,,,,,,,,,,,,,,
363,spheal,ice,water,thick-fat,ice-body,oblivious,70,40,50,55,50,25,"['1', 'defense-curl']","['1', 'rollout']","['4', 'growl']","['8', 'water-gun']","['12', 'powder-snow']","['16', 'rest']","['20', 'snore']","['24', 'brine']","['28', 'aurora-beam']","['33', 'encore']","['36', 'body-slam']","['40', 'surf']","['44', 'blizzard']","['48', 'hail']","['52', 'sheer-cold']",,,,,,,,,,,,,,,,,,,,
364,sealeo,ice,water,thick-fat,ice-body,oblivious,90,60,70,75,70,45,"['0', 'swagger']","['1', 'growl']","['1', 'water-gun']","['1', 'defense-curl']","['1', 'rollout']","['1', 'swagger']","['12', 'powder-snow']","['16', 'rest']","['20', 'snore']","['24', 'brine']","['28', 'aurora-beam']","['35', 'encore']","['40', 'body-slam']","['46', 'surf']","['52', 'blizzard']","['58', 'hail']","['64', 'sheer-cold']",,,,,,,,,,,,,,,,,,
365,walrein,ice,water,thick-fat,ice-body,oblivious,110,80,90,95,90,65,"['1', 'growl']","['1', 'water-gun']","['1', 'defense-curl']","['1', 'rollout']","['1', 'swagger']","['1', 'crunch']","['1', 'ice-fang']","['12', 'powder-snow']","['16', 'rest']","['20', 'snore']","['24', 'brine']","['28', 'aurora-beam']","['35', 'encore']","['40', 'body-slam']","['48', 'surf']","['56', 'blizzard']","['64', 'hail']","['72', 'sheer-cold']",,,,,,,,,,,,,,,,,
366,clamperl,water,---,shell-armor,rattled,---,35,64,85,74,55,32,"['1', 'water-gun']","['1', 'clamp']","['1', 'whirlpool']","['1', 'iron-defense']","['50', 'shell-smash']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,huntail,water,---,swift-swim,water-veil,---,55,104,105,94,75,52,"['1', 'bite']","['1', 'whirlpool']","['5', 'screech']","['9', 'scary-face']","['11', 'feint-attack']","['14', 'water-pulse']","['16', 'ice-fang']","['19', 'brine']","['23', 'sucker-punch']","['26', 'dive']","['29', 'baton-pass']","['34', 'crunch']","['39', 'aqua-tail']","['45', 'coil']","['50', 'hydro-pump']",,,,,,,,,,,,,,,,,,,,
368,gorebyss,water,---,swift-swim,hydration,---,55,84,105,114,75,52,"['1', 'confusion']","['1', 'whirlpool']","['5', 'water-sport']","['9', 'agility']","['11', 'draining-kiss']","['14', 'water-pulse']","['16', 'amnesia']","['19', 'aqua-ring']","['23', 'captivate']","['26', 'dive']","['29', 'baton-pass']","['34', 'psychic']","['39', 'aqua-tail']","['45', 'coil']","['50', 'hydro-pump']",,,,,,,,,,,,,,,,,,,,
